State,Year_Built,Square_Footage,CLUE_Loss_Count,Credit_Score,Construction_Type,Protection_Class,AOI,Deductible,Territory,Roof_Age_Applicant,Fire_Alarm,Burglar_Alarm,Roof_Vulnerability_Satellite,Wildfire_Exposure_Daily,Water_Loss_Recency_Months,RCV_Appraised,Fire_Hydrant_Distance,Tree_Canopy_Density,Crime_Severity_Index,Pluvial_Flood_Depth,Building_Code_Compliance,Slope_Steepness,Attic_Ventilation,Hail_Frequency,Soil_Liquefaction_Risk,Dwelling_Age,RCV_Overstatement,Credit_Score_Suppressed,Risk_Tier,Expected_Pure_Premium,Claim_Count,Claim_Amount
TX,1961,2601.0,0,760.0,Frame,1,495784.0,2000,Suburban,3.0,False,True,2.4,24.7,26.0,429159.0,0.02,16.8,84.6,6.4,57.0,6.9,Good,7.0,Moderate,65,66625.0,False,Moderate,1001.95,0,0.0
CA,1975,2738.0,0,700.0,Frame,2,386600.0,2000,Urban,39.0,False,True,17.4,63.0,3.0,365798.0,1.035,39.9,51.1,0.8,90.0,2.1,Good,0.0,Moderate,51,20802.0,True,Very High,6617.71,4,9244.11
CO,1976,2987.0,0,589.0,Masonry,8,724424.0,1000,Urban,13.0,False,True,6.4,29.9,79.0,656613.0,0.812,7.6,50.0,13.0,51.0,31.9,Good,5.0,Low,50,67811.0,False,High,2103.17,0,0.0
LA,1998,3057.0,1,772.0,Masonry,10,931924.0,1000,Urban,21.0,False,False,14.4,2.8,19.0,1057762.0,0.02,53.0,22.2,4.9,48.0,4.3,Fair,0.0,Low,28,0.0,False,High,2487.76,0,0.0
OK,1994,2259.0,0,743.0,Frame,2,844930.0,1000,Rural,25.0,True,False,17.3,12.8,53.0,942265.0,0.36,52.9,39.0,0.9,92.0,27.5,Good,1.0,High,32,0.0,False,Moderate,1608.79,0,0.0
FL,1980,1794.0,2,705.0,Frame,9,223104.0,1000,Urban,15.0,False,True,7.9,29.2,21.0,253987.0,0.756,30.5,65.4,19.6,95.0,33.3,Fair,0.0,Moderate,46,0.0,False,High,2225.36,0,0.0
CO,1988,2060.0,0,791.0,Frame,5,493738.0,2000,Urban,3.0,True,True,1.9,39.3,120.0,453499.0,0.373,30.6,32.7,8.3,73.0,1.6,Fair,4.0,Low,38,40239.0,False,Low,781.2,1,507.98
CA,1992,2270.0,0,700.0,Masonry,2,862844.0,1000,Suburban,35.0,True,True,20.9,56.2,26.0,876349.0,0.324,60.5,53.0,0.6,99.0,0.8,Good,1.0,Low,34,0.0,True,Very High,4483.02,0,0.0
TX,1953,2171.0,0,675.0,Frame,8,276276.0,1000,Urban,34.0,False,True,20.2,11.6,55.0,287355.0,0.743,9.8,39.8,0.0,88.0,7.5,Poor,10.0,Moderate,73,0.0,False,High,2585.08,0,0.0
GA,2015,1643.0,0,717.0,Frame,6,459839.0,1000,Urban,23.0,True,True,12.9,37.3,35.0,428579.0,0.952,41.2,78.3,0.5,94.0,19.6,Fair,2.0,Moderate,11,31260.0,False,High,2172.15,0,0.0
MA,2016,2440.0,2,700.0,Masonry,3,342354.0,2000,Suburban,5.0,False,False,5.2,0.5,45.0,291902.0,0.334,9.2,17.9,12.6,88.0,17.6,Good,0.0,Low,10,50452.0,True,Low,877.38,0,0.0
GA,1976,1338.0,0,633.0,Frame,7,541664.0,1000,Urban,17.0,False,False,6.6,5.8,15.0,559600.0,0.161,50.2,63.4,0.0,70.0,18.3,Good,2.0,Low,50,0.0,False,Moderate,1911.91,2,3925.64
WA,2006,2247.0,0,792.0,Masonry,2,1500000.0,1000,Suburban,20.0,True,False,13.4,42.7,21.0,1687981.0,0.02,13.8,26.0,6.6,96.0,12.6,Good,0.0,Low,20,0.0,False,Very High,3651.99,0,0.0
OK,1979,2282.0,1,679.0,Frame,6,478049.0,5000,Urban,0.0,False,False,0.0,13.1,2.0,455681.0,2.272,66.5,63.7,4.7,70.0,27.5,Fair,4.0,High,47,22368.0,False,Moderate,1577.97,0,0.0
GA,1955,2263.0,0,643.0,Frame,8,445065.0,1000,Suburban,4.0,True,True,3.2,5.0,1.0,379235.0,0.455,75.9,62.5,10.7,64.0,29.1,Poor,2.0,Moderate,71,65830.0,False,Low,944.29,0,0.0
NY,2014,2668.0,0,622.0,Frame,4,1306210.0,500,Suburban,18.0,False,False,11.4,11.6,1.0,1391574.0,0.243,82.0,10.5,12.9,76.0,3.9,Good,1.0,Moderate,12,0.0,False,High,2921.55,1,4355.74
CA,1969,2595.0,0,700.0,Frame,2,524690.0,2000,Urban,33.0,True,True,20.2,52.3,17.0,498804.0,0.547,73.4,74.9,8.9,83.0,0.2,Good,1.0,Moderate,57,25886.0,True,High,3383.98,0,0.0
CA,1976,3422.0,0,700.0,Frame,9,361835.0,500,Rural,0.0,False,True,6.9,45.8,47.0,374125.0,0.083,33.6,59.8,3.8,50.0,19.5,Good,0.0,Low,50,0.0,True,Moderate,1092.96,0,0.0
CA,1992,1915.0,1,700.0,Frame,2,228321.0,2000,Urban,4.0,True,False,5.0,67.0,37.0,197462.0,0.681,62.3,33.2,4.0,64.0,15.2,Fair,0.0,Moderate,34,30859.0,True,Moderate,1077.58,0,0.0
CA,1982,2354.0,0,700.0,Frame,3,782187.0,1000,Suburban,39.0,False,False,29.4,51.5,7.0,715552.0,1.24,55.7,63.5,9.1,70.0,29.5,Good,1.0,Moderate,44,66635.0,True,Very High,10541.9,5,54611.32
FL,1969,2318.0,0,771.0,Frame,1,281130.0,2000,Suburban,18.0,True,True,9.9,19.5,120.0,311496.0,1.736,38.3,70.3,5.2,84.0,26.2,Good,0.0,Low,57,0.0,False,Low,990.87,0,0.0
LA,2009,2293.0,0,709.0,Fire Resistive,4,438857.0,5000,Rural,33.0,False,False,14.2,8.2,87.0,381749.0,0.415,12.0,19.4,44.1,62.0,32.5,Good,0.0,Low,17,57108.0,False,High,3047.05,1,4753.94
MA,1976,1504.0,0,700.0,Frame,1,582278.0,500,Suburban,31.0,True,False,17.9,0.5,66.0,612878.0,1.016,25.8,13.0,0.0,94.0,21.8,Good,1.0,Moderate,50,0.0,True,Moderate,1752.6,2,3729.31
OK,1993,1549.0,1,763.0,Frame,6,638495.0,1000,Suburban,35.0,True,False,22.6,15.6,13.0,712119.0,0.656,23.8,11.9,5.4,45.0,11.7,Good,5.0,Low,33,0.0,False,Very High,6290.19,1,3732.64
TX,1999,2204.0,2,783.0,Masonry,2,229019.0,2000,Urban,34.0,False,False,20.4,5.9,20.0,218954.0,0.75,54.9,55.8,10.5,98.0,9.2,Good,5.0,High,27,10065.0,False,High,2106.66,0,0.0
MA,2019,1333.0,0,700.0,Frame,1,295075.0,2000,Urban,28.0,True,False,20.4,8.5,87.0,258236.0,0.787,66.3,80.1,7.9,93.0,13.0,Good,2.0,Low,7,36839.0,True,Moderate,1545.83,1,2605.47
FL,1985,2016.0,1,659.0,Frame,9,529637.0,500,Suburban,30.0,False,True,20.3,17.8,67.0,588007.0,0.703,54.0,25.3,8.7,65.0,27.9,Fair,1.0,Low,41,0.0,False,Very High,4509.25,1,3756.8
CA,1984,1844.0,0,700.0,Frame,1,235001.0,1000,Urban,13.0,True,False,8.9,39.5,89.0,252483.0,0.39,7.3,87.1,4.6,48.0,8.9,Good,1.0,Low,42,0.0,True,Moderate,1096.76,1,533.17
FL,2017,2036.0,1,738.0,Frame,4,651811.0,1000,Rural,11.0,True,False,7.6,18.2,45.0,601102.0,0.922,67.7,41.8,4.0,99.0,1.9,Fair,1.0,Moderate,9,50709.0,False,Moderate,1230.27,1,1909.47
FL,1985,2823.0,0,589.0,Frame,10,263298.0,1000,Suburban,20.0,False,True,11.4,20.1,11.0,296812.0,0.585,27.8,43.1,60.0,88.0,15.9,Fair,0.0,Low,41,0.0,False,Very High,4334.47,1,3636.12
TX,1972,1607.0,0,767.0,Frame,5,420042.0,1000,Urban,25.0,False,False,14.0,20.7,2.0,374776.0,0.383,39.3,62.3,10.0,71.0,32.3,Good,10.0,Moderate,54,45266.0,False,High,3170.04,0,0.0
MA,1953,2678.0,0,700.0,Masonry,5,381299.0,1000,Suburban,12.0,True,False,3.4,0.5,48.0,335480.0,0.621,25.5,57.8,1.8,47.0,8.6,Good,2.0,Low,73,45819.0,True,Low,756.62,0,0.0
MA,1974,1886.0,0,700.0,Masonry,7,684260.0,500,Suburban,39.0,True,False,25.7,10.3,54.0,666268.0,0.436,68.2,84.9,0.0,57.0,12.4,Poor,1.0,Low,52,17992.0,True,Very High,3840.68,0,0.0
LA,1964,1954.0,0,659.0,Frame,6,378569.0,5000,Suburban,38.0,False,True,22.0,18.1,120.0,326826.0,0.599,23.6,64.5,6.1,95.0,33.1,Good,4.0,Low,62,51743.0,False,High,3277.0,2,6672.65
CA,1972,2456.0,0,700.0,Frame,9,659339.0,1000,Rural,16.0,False,False,15.1,51.4,71.0,749441.0,0.024,46.7,35.7,5.6,73.0,14.9,Good,0.0,High,54,0.0,True,High,2276.51,1,3166.19
MA,1989,2049.0,0,700.0,Frame,10,803783.0,500,Suburban,5.0,True,True,0.0,7.4,73.0,804233.0,0.107,68.6,33.0,0.9,92.0,9.4,Good,2.0,Low,37,0.0,True,Moderate,1248.63,1,1565.21
LA,1988,1709.0,1,713.0,Frame,6,470272.0,2000,Suburban,11.0,False,False,1.8,1.8,41.0,458237.0,0.09,64.5,68.4,23.3,96.0,29.7,Good,3.0,Low,38,12035.0,False,Moderate,1579.2,1,378.09
TX,1963,1996.0,1,815.0,Frame,10,534512.0,2000,Suburban,33.0,True,False,24.1,15.0,19.0,569978.0,1.359,71.0,52.0,2.3,50.0,21.4,Good,6.0,Moderate,63,0.0,False,Very High,5478.83,1,3845.38
OK,1984,1223.0,0,612.0,Masonry,2,350028.0,5000,Suburban,39.0,False,True,26.1,9.6,67.0,393454.0,1.333,58.5,22.2,6.9,41.0,6.0,Fair,5.0,Low,42,0.0,False,High,3138.27,1,1636.23
NY,1983,2410.0,0,642.0,Frame,8,290959.0,1000,Urban,18.0,True,False,9.5,9.9,24.0,266380.0,1.547,53.9,12.1,0.0,42.0,32.1,Good,2.0,Low,43,24579.0,False,Moderate,1054.33,0,0.0
NY,1953,700.0,0,791.0,Frame,6,268389.0,2000,Rural,7.0,True,True,2.3,0.5,120.0,270248.0,0.601,39.7,87.3,3.6,81.0,23.4,Good,0.0,Moderate,73,0.0,False,Low,604.24,0,0.0
CA,1970,2688.0,0,700.0,Fire Resistive,6,501263.0,1000,Rural,37.0,False,False,19.9,41.3,36.0,539835.0,0.907,42.5,65.8,2.5,55.0,20.1,Good,1.0,Low,56,0.0,True,Very High,3997.81,0,0.0
CO,2003,2538.0,0,593.0,Frame,9,369996.0,1000,Rural,13.0,False,True,9.6,37.9,64.0,369472.0,2.042,69.1,70.5,8.7,67.0,17.2,Good,4.0,Low,23,524.0,False,Moderate,1423.68,0,0.0
CA,1951,3081.0,0,700.0,Masonry,3,579416.0,1000,Urban,7.0,True,True,4.2,63.1,76.0,493113.0,0.636,64.1,42.1,11.7,85.0,11.0,Good,0.0,Low,75,86303.0,True,Moderate,1340.07,1,754.99
TX,1972,3400.0,0,668.0,Frame,6,419604.0,500,Suburban,25.0,True,False,17.1,26.4,37.0,440308.0,1.373,15.7,54.7,0.5,86.0,1.0,Good,8.0,High,54,0.0,False,High,2106.81,1,1885.88
CA,1985,2715.0,0,700.0,Masonry,2,382127.0,1000,Rural,0.0,True,False,0.2,47.3,9.0,333714.0,2.595,84.8,22.8,0.0,87.0,3.6,Fair,0.0,Low,41,48413.0,True,Low,876.0,1,1169.78
GA,1962,1855.0,1,595.0,Frame,9,438882.0,2000,Suburban,5.0,True,False,1.2,15.1,3.0,401174.0,0.752,22.5,11.6,9.4,72.0,19.7,Good,3.0,High,64,37708.0,False,Moderate,1933.54,0,0.0
FL,1997,3395.0,1,562.0,Frame,2,183820.0,500,Urban,29.0,True,False,15.9,7.3,68.0,175465.0,0.351,78.3,67.9,5.7,60.0,34.8,Good,1.0,Low,29,8355.0,False,Moderate,1365.13,1,1617.27
FL,2002,1543.0,0,676.0,Frame,2,723964.0,1000,Urban,37.0,True,False,23.3,32.1,14.0,646504.0,0.042,26.8,77.6,11.9,75.0,25.9,Good,1.0,Moderate,24,77460.0,False,Very High,9558.19,4,18047.46
FL,1975,1154.0,0,695.0,Frame,4,407440.0,500,Urban,22.0,False,True,10.8,12.4,22.0,437760.0,0.035,5.6,53.6,1.2,90.0,29.4,Good,2.0,Low,51,0.0,False,Moderate,1428.66,0,0.0
WA,1967,3219.0,3,784.0,Frame,6,401350.0,1000,Urban,40.0,False,False,27.4,34.1,18.0,350747.0,0.196,45.5,45.1,1.2,89.0,29.8,Good,1.0,Moderate,59,50603.0,False,Very High,9014.25,3,29519.37
CO,2007,2531.0,0,664.0,Masonry,3,980656.0,5000,Urban,11.0,False,True,4.5,33.8,92.0,1032758.0,1.957,35.2,41.2,2.1,40.0,13.9,Good,3.0,Low,19,0.0,False,Moderate,1232.0,0,0.0
WA,1965,1168.0,2,790.0,Fire Resistive,6,414955.0,2000,Suburban,29.0,True,True,20.0,31.7,15.0,470655.0,0.034,67.0,32.6,20.0,90.0,2.1,Fair,0.0,Low,61,0.0,False,High,2960.68,1,591.47
FL,1960,1455.0,0,796.0,Frame,9,623976.0,500,Suburban,36.0,False,False,22.3,7.7,68.0,688728.0,1.306,11.5,86.9,9.9,72.0,8.4,Fair,0.0,Low,66,0.0,False,Very High,3885.55,3,17534.49
CA,1952,2503.0,1,700.0,Frame,2,197529.0,2000,Suburban,38.0,False,True,24.5,57.8,120.0,226571.0,0.281,26.4,17.3,3.7,97.0,5.0,Fair,1.0,High,74,0.0,True,High,3237.7,1,2470.08
CO,1956,1722.0,0,762.0,Frame,10,359871.0,1000,Suburban,30.0,True,False,18.9,33.0,15.0,392781.0,0.128,10.4,36.9,2.1,42.0,33.9,Good,6.0,High,70,0.0,False,Very High,4117.47,2,7049.37
FL,2014,1801.0,0,787.0,Frame,7,804385.0,1000,Rural,11.0,True,True,4.6,5.8,72.0,789738.0,2.163,29.9,12.7,19.9,55.0,26.8,Poor,1.0,Low,12,14647.0,False,Moderate,1987.33,1,1765.01
MA,2019,3282.0,0,700.0,Masonry,7,709070.0,5000,Rural,39.0,True,True,24.3,0.5,32.0,724192.0,0.895,24.6,57.1,0.0,55.0,24.1,Fair,2.0,Low,7,0.0,True,Very High,5185.11,3,17245.07
WA,1990,3382.0,0,738.0,Frame,6,648676.0,500,Suburban,17.0,True,False,8.4,47.3,39.0,654545.0,0.678,31.6,50.9,16.9,76.0,15.5,Poor,0.0,Moderate,36,0.0,False,High,3081.55,2,15942.43
NY,2018,2281.0,0,681.0,Masonry,7,332835.0,500,Urban,0.0,False,False,2.1,0.5,41.0,369924.0,0.036,13.6,20.5,3.1,50.0,1.5,Poor,0.0,High,8,0.0,False,Moderate,1076.85,0,0.0
GA,2002,2117.0,0,679.0,Frame,4,531587.0,2000,Suburban,15.0,False,False,8.8,7.7,5.0,545546.0,0.113,67.6,35.5,0.2,51.0,26.3,Good,1.0,Low,24,0.0,False,Moderate,1661.14,0,0.0
CO,1980,2696.0,0,603.0,Masonry,6,402203.0,2000,Urban,1.0,False,True,1.0,37.0,3.0,422165.0,0.15,79.6,38.9,0.0,62.0,0.8,Good,2.0,Moderate,46,0.0,False,Moderate,1012.22,0,0.0
TX,2002,1891.0,1,674.0,Masonry,1,560109.0,2000,Urban,11.0,True,True,9.4,1.6,4.0,540722.0,0.135,63.3,68.5,5.9,81.0,9.3,Fair,7.0,Moderate,24,19387.0,False,High,2396.16,0,0.0
NY,1981,973.0,0,723.0,Fire Resistive,2,713834.0,1000,Suburban,21.0,False,True,14.3,11.8,1.0,760811.0,0.216,24.7,68.3,1.4,40.0,19.2,Fair,1.0,Low,45,0.0,False,High,2298.82,3,3703.82
CA,2021,700.0,1,700.0,Masonry,6,523710.0,1000,Suburban,26.0,False,True,15.1,51.2,120.0,504073.0,0.2,84.2,85.9,3.3,51.0,25.8,Good,0.0,Low,5,19637.0,True,Very High,4808.02,2,6270.89
MA,2012,2160.0,0,700.0,Frame,9,769214.0,2000,Urban,16.0,False,True,8.8,8.0,36.0,819726.0,0.104,71.8,74.5,11.5,89.0,12.6,Good,3.0,Low,14,0.0,True,High,2047.93,0,0.0
CA,2012,2685.0,0,700.0,Frame,1,790611.0,2000,Urban,38.0,False,False,27.4,78.0,1.0,858537.0,0.245,38.2,13.8,8.1,96.0,9.8,Fair,1.0,Low,14,0.0,True,Very High,14140.02,5,80403.57
FL,1989,2209.0,0,690.0,Frame,1,281450.0,5000,Urban,9.0,True,True,7.8,7.6,83.0,287349.0,0.046,53.9,40.9,11.1,84.0,4.0,Good,1.0,Moderate,37,0.0,False,Low,895.55,0,0.0
CO,1988,2645.0,1,698.0,Frame,5,200639.0,5000,Rural,21.0,False,True,19.4,28.5,27.0,187107.0,0.207,11.6,44.8,9.3,45.0,15.2,Good,3.0,Moderate,38,13532.0,False,High,2364.58,2,4209.59
CA,1958,2700.0,0,700.0,Fire Resistive,7,762475.0,2000,Urban,36.0,True,False,24.0,72.5,34.0,701525.0,0.183,82.4,32.7,0.0,72.0,0.6,Fair,0.0,Low,68,60950.0,True,Very High,8218.41,1,7602.84
CA,1998,2962.0,0,700.0,Fire Resistive,9,497600.0,2000,Suburban,26.0,False,True,19.1,42.4,34.0,440565.0,0.542,83.9,82.5,1.1,91.0,19.9,Poor,0.0,Moderate,28,57035.0,True,Moderate,1874.58,0,0.0
LA,1958,2302.0,0,667.0,Fire Resistive,2,905458.0,1000,Urban,6.0,True,False,1.9,17.2,6.0,862306.0,0.101,35.5,87.4,13.1,60.0,18.1,Good,2.0,High,68,43152.0,False,Moderate,1679.29,0,0.0
CA,1989,2352.0,3,700.0,Masonry,10,560859.0,5000,Urban,10.0,True,False,7.5,55.1,26.0,588887.0,0.77,84.7,20.9,3.5,80.0,0.4,Good,0.0,Low,37,0.0,True,Very High,4100.51,1,4136.65
NY,1959,2180.0,0,752.0,Frame,8,983038.0,500,Urban,35.0,True,True,21.2,0.5,23.0,850660.0,0.02,26.6,10.8,7.6,96.0,15.5,Good,1.0,Low,67,132378.0,False,Very High,3655.78,1,2089.35
FL,1985,2058.0,0,831.0,Masonry,7,677435.0,1000,Suburban,39.0,False,False,19.5,5.0,31.0,763112.0,0.258,39.6,27.2,13.0,48.0,13.5,Good,3.0,Moderate,41,0.0,False,Very High,3972.93,0,0.0
TX,2007,1335.0,0,638.0,Frame,7,572713.0,2000,Urban,6.0,False,True,0.6,1.9,28.0,525870.0,0.717,51.5,11.7,3.6,53.0,25.1,Fair,5.0,Low,19,46843.0,False,Moderate,1340.41,0,0.0
TX,1972,2845.0,0,671.0,Frame,10,401014.0,1000,Urban,28.0,True,False,18.8,12.8,94.0,349334.0,0.119,41.6,43.2,3.4,47.0,28.3,Good,4.0,Low,54,51680.0,False,High,3480.13,3,12624.6
MA,1994,1989.0,0,700.0,Frame,3,379116.0,500,Rural,33.0,False,True,24.0,3.3,16.0,347436.0,0.045,17.0,79.7,3.8,80.0,5.1,Fair,0.0,Moderate,32,31680.0,True,High,2659.2,1,823.85
GA,1969,1957.0,0,725.0,Masonry,10,215363.0,2000,Suburban,3.0,False,True,1.9,16.9,120.0,228765.0,0.411,68.4,44.1,9.0,51.0,17.6,Fair,4.0,Moderate,57,0.0,False,Low,707.94,0,0.0
TX,1972,1902.0,0,724.0,Masonry,8,636773.0,500,Urban,3.0,False,False,6.5,10.6,43.0,703133.0,1.092,75.7,49.0,8.4,93.0,0.6,Fair,4.0,Low,54,0.0,False,Moderate,1126.09,0,0.0
GA,1963,1463.0,0,702.0,Frame,8,330464.0,1000,Suburban,23.0,False,True,14.7,26.2,6.0,379157.0,0.073,70.4,62.5,14.1,88.0,18.3,Good,2.0,High,63,0.0,False,High,2472.12,1,2693.88
OK,1961,2153.0,0,682.0,Fire Resistive,8,424197.0,500,Rural,4.0,True,True,0.4,2.1,9.0,430246.0,0.772,38.8,46.2,3.3,87.0,9.0,Good,2.0,High,65,0.0,False,Low,764.35,0,0.0
OK,1977,2484.0,0,709.0,Frame,1,471049.0,2000,Suburban,26.0,False,True,14.6,22.4,12.0,455145.0,0.693,41.2,68.8,2.0,61.0,21.2,Fair,1.0,Moderate,49,15904.0,False,Moderate,1458.91,0,0.0
LA,1959,1812.0,1,661.0,Frame,5,373940.0,500,Suburban,40.0,False,True,28.9,0.5,35.0,381126.0,0.383,39.4,66.9,12.5,54.0,22.1,Poor,4.0,Moderate,67,0.0,False,Very High,5665.63,3,11655.15
LA,2015,2771.0,0,627.0,Frame,7,520217.0,500,Suburban,16.0,False,False,10.8,18.3,34.0,503622.0,0.429,46.8,25.2,4.1,64.0,9.4,Poor,0.0,Low,11,16595.0,False,Moderate,1210.69,0,0.0
MA,2004,1997.0,0,700.0,Frame,6,159375.0,2000,Urban,34.0,True,False,21.2,2.1,9.0,138978.0,0.1,17.4,61.3,4.1,83.0,21.1,Poor,3.0,Low,22,20397.0,True,Moderate,1790.06,0,0.0
NY,1966,1357.0,0,737.0,Frame,10,484820.0,1000,Rural,21.0,False,False,12.9,0.5,6.0,499283.0,0.141,11.8,58.1,4.2,90.0,20.1,Fair,0.0,Moderate,60,0.0,False,Moderate,1391.69,1,1256.94
CO,2015,2956.0,1,699.0,Masonry,2,645750.0,1000,Urban,0.0,True,False,4.2,36.4,28.0,739449.0,0.391,57.0,44.7,0.0,48.0,15.3,Fair,5.0,Low,11,0.0,False,Moderate,1827.16,0,0.0
FL,1977,2309.0,0,794.0,Frame,10,215288.0,1000,Rural,33.0,True,False,21.4,0.5,45.0,214184.0,0.364,62.1,71.4,41.6,49.0,34.3,Good,1.0,High,49,1104.0,False,High,3473.48,0,0.0
CA,1989,2675.0,1,700.0,Frame,5,348818.0,1000,Rural,25.0,False,True,14.5,50.1,26.0,383394.0,0.327,27.6,27.9,2.1,46.0,16.6,Poor,0.0,High,37,0.0,True,High,2744.01,0,0.0
LA,2001,2688.0,0,711.0,Frame,5,900452.0,1000,Urban,13.0,False,False,6.1,3.4,49.0,866158.0,0.02,72.4,30.9,1.3,75.0,9.8,Poor,5.0,Low,25,34294.0,False,High,2326.46,1,1617.54
CA,2007,1680.0,0,700.0,Fire Resistive,7,458808.0,500,Suburban,31.0,False,False,19.0,48.0,4.0,495045.0,0.216,13.0,23.6,0.0,80.0,21.9,Fair,1.0,Low,19,0.0,True,Very High,4475.57,2,8411.68
TX,1950,1913.0,0,557.0,Masonry,9,346159.0,2000,Rural,34.0,True,True,20.1,2.1,9.0,378056.0,0.559,46.9,11.5,32.1,65.0,20.8,Good,4.0,Low,76,0.0,False,Very High,4379.1,2,6199.06
CA,1970,2769.0,0,700.0,Masonry,1,676986.0,1000,Suburban,3.0,True,False,3.5,56.3,18.0,777255.0,0.281,12.2,74.0,1.4,60.0,22.0,Poor,1.0,High,56,0.0,True,Moderate,1361.84,0,0.0
TX,1974,3209.0,0,804.0,Masonry,8,285673.0,2000,Suburban,11.0,False,False,3.1,0.5,78.0,267262.0,0.538,43.0,89.6,11.8,90.0,26.6,Fair,6.0,Low,52,18411.0,False,Low,780.39,0,0.0
OK,1993,2235.0,0,779.0,Frame,4,297493.0,1000,Suburban,13.0,True,False,7.0,0.5,38.0,321191.0,0.319,71.4,38.1,10.3,62.0,8.9,Good,11.0,Low,33,0.0,False,Moderate,1532.63,0,0.0
OK,2014,1855.0,3,644.0,Frame,7,310285.0,1000,Urban,15.0,False,True,6.3,14.0,120.0,347850.0,0.448,33.7,20.3,4.7,65.0,7.0,Fair,3.0,Low,12,0.0,False,Moderate,1741.49,0,0.0
NY,1982,3125.0,1,724.0,Masonry,5,902652.0,2000,Urban,2.0,True,True,0.0,3.2,21.0,855004.0,1.663,23.4,77.4,3.9,96.0,29.7,Good,2.0,Moderate,44,47648.0,False,Moderate,1352.55,1,506.81
CA,1984,1855.0,1,700.0,Masonry,2,298209.0,1000,Suburban,9.0,False,True,9.2,51.7,10.0,304761.0,0.205,76.5,23.7,8.9,91.0,27.2,Good,0.0,Low,42,0.0,True,Moderate,1762.03,0,0.0
NY,1956,2381.0,1,676.0,Fire Resistive,8,462955.0,500,Urban,12.0,False,False,6.7,18.3,2.0,525912.0,1.778,55.4,27.2,3.1,78.0,7.9,Good,0.0,Low,70,0.0,False,Moderate,1165.29,0,0.0
FL,1988,1965.0,0,738.0,Frame,8,812206.0,5000,Rural,10.0,True,True,3.8,2.8,13.0,769096.0,1.145,82.0,17.0,6.5,76.0,2.9,Fair,0.0,Low,38,43110.0,False,Moderate,1625.12,0,0.0
LA,1986,2348.0,1,668.0,Frame,4,300738.0,1000,Urban,15.0,True,True,5.3,2.9,33.0,286820.0,1.492,31.9,50.3,0.0,43.0,1.1,Fair,4.0,Low,40,13918.0,False,Moderate,1637.99,0,0.0
CO,1997,1680.0,0,668.0,Frame,2,212865.0,2000,Suburban,20.0,False,False,13.1,37.2,120.0,182394.0,1.323,65.0,44.8,5.2,75.0,3.3,Poor,4.0,Low,29,30471.0,False,Moderate,1136.38,0,0.0
NY,2012,1994.0,0,714.0,Frame,10,1270796.0,2000,Urban,39.0,True,True,23.2,6.4,5.0,1145921.0,2.386,77.9,54.9,2.9,88.0,27.0,Good,0.0,Low,14,124875.0,False,Very High,7610.46,3,27538.36
NY,1991,1855.0,1,595.0,Frame,4,509383.0,5000,Urban,13.0,False,True,11.0,26.4,74.0,516485.0,1.267,58.7,38.9,9.3,78.0,24.5,Good,2.0,Low,35,0.0,False,Moderate,1862.05,1,2683.35
GA,1953,2564.0,0,742.0,Fire Resistive,9,355923.0,1000,Suburban,37.0,True,False,25.8,0.5,31.0,397865.0,0.242,38.9,24.3,10.3,95.0,19.6,Fair,4.0,Low,73,0.0,False,High,3063.06,0,0.0
MA,2010,2290.0,0,700.0,Masonry,4,445332.0,2000,Suburban,17.0,False,True,11.2,16.8,36.0,405817.0,0.056,29.6,14.6,2.9,65.0,1.5,Good,0.0,Moderate,16,39515.0,True,Moderate,1278.26,0,0.0
NY,1985,2684.0,0,699.0,Frame,6,676801.0,1000,Suburban,0.0,False,True,0.0,12.2,20.0,665220.0,0.027,84.9,39.6,2.0,55.0,12.3,Poor,1.0,High,41,11581.0,False,Moderate,1144.5,0,0.0
NY,1986,1746.0,2,711.0,Masonry,9,233603.0,2000,Suburban,34.0,False,True,23.3,3.9,14.0,229844.0,0.719,81.4,88.5,0.5,56.0,20.5,Good,2.0,Low,40,3759.0,False,High,2069.83,1,1948.87
CA,2014,2085.0,0,700.0,Masonry,8,385473.0,1000,Rural,18.0,True,True,11.4,59.1,8.0,328548.0,0.02,43.9,40.3,1.2,95.0,23.0,Poor,1.0,Low,12,56925.0,True,High,2287.71,0,0.0
GA,1993,2544.0,0,607.0,Frame,7,693917.0,5000,Suburban,3.0,True,False,2.2,8.8,120.0,619165.0,0.189,54.4,58.6,5.5,44.0,9.5,Fair,5.0,Moderate,33,74752.0,False,Moderate,1868.15,2,3912.16
FL,2008,2672.0,0,652.0,Masonry,4,945408.0,5000,Urban,39.0,False,True,24.4,18.2,16.0,878244.0,0.089,50.0,48.1,6.8,76.0,0.8,Fair,0.0,High,18,67164.0,False,Very High,3607.72,2,15403.35
TX,2015,1405.0,0,773.0,Frame,2,941118.0,2000,Suburban,8.0,False,True,4.4,20.2,79.0,898542.0,0.07,33.9,56.4,6.0,54.0,22.9,Good,4.0,Low,11,42576.0,False,High,2206.45,1,841.07
GA,1986,2375.0,0,642.0,Frame,5,504427.0,2000,Urban,28.0,True,False,14.6,0.5,30.0,468470.0,0.904,62.2,45.1,4.2,78.0,34.5,Good,2.0,Low,40,35957.0,False,Moderate,1848.57,0,0.0
